marketplace,categoria,titulo,ranking_venda,preco,link_produto,link_imagem_produto,data_extracao
Mercado Livre,Eletrodomésticos,Aspirador de Pó Vertical com Fio Portátil de Mão 2 em 1 1450w com Cabo Elétrico de 6 Metros e 1.6 Litros com Filtro Hepa Electrolux STK15 Cinza Urban Grey 220v,11,226,https://www.mercadolivre.com.br/aspirador-de-po-vertical-com-fio-portatil-de-mo-2-em-1-1450w-com-cabo-eletrico-de-6-metros-e-16-litros-com-filtro-hepa-electrolux-stk15-cinza-urban-grey-220v/p/MLB18238727#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=11&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=8309750f-2ace-11f0-896c-ef58f407f176&c_element_id=8309750f-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_998337-MLA79461277421_092024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Liquidificador Easy Power Mondial Vermelho 550w L-550-R,12,101,https://www.mercadolivre.com.br/liquidificador-easy-power-mondial-vermelho-550w-l-550-r/p/MLB18997754#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=12&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097510-2ace-11f0-896c-ef58f407f176&c_element_id=83097510-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_697920-MLU72756927148_112023-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Sanduicheira Master Grill Mondial Inox S-20 110v 60hz Cor Cinza,13,112,https://www.mercadolivre.com.br/sanduicheira-master-grill-mondial-inox-s-20-110v-60hz-cor-cinza/p/MLB23418958#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=13&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097511-2ace-11f0-896c-ef58f407f176&c_element_id=83097511-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_981061-MLU78233175803_082024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Prancha Lizze Chapinha Extreme Profissional 480ºf Salão Cor Cinza,14,439,https://www.mercadolivre.com.br/prancha-lizze-chapinha-extreme-profissional-480f-salo-cor-cinza/p/MLB24027627#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=14&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097512-2ace-11f0-896c-ef58f407f176&c_element_id=83097512-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_612883-MLU72566257512_112023-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Secador Taiff Style 2000w Motor Ac Preto - 110v 127V,15,220,https://www.mercadolivre.com.br/secador-taiff-style-2000w-motor-ac-preto-110v-127v/p/MLB18920578#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=15&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097513-2ace-11f0-896c-ef58f407f176&c_element_id=83097513-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_669316-MLA52218052396_102022-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Cooktop a gás Itatiaia Branco 5 Bocas Itamaster Bivolt 127V/220V 3700000344,16,575,https://www.mercadolivre.com.br/cooktop-a-gas-itatiaia-branco-5-bocas-itamaster-bivolt-127v220v-3700000344/p/MLB27361051#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=16&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097514-2ace-11f0-896c-ef58f407f176&c_element_id=83097514-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_752910-MLU77142163434_062024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,"Aspirador pó vertical com fio portátil de mão 2 em 1 potente 1450W cabo 5m capacidade 1,6L filtro HEPA Electrolux STK14 Azul Denim 110v",17,217,https://www.mercadolivre.com.br/aspirador-po-vertical-com-fio-portatil-de-mo-2-em-1-potente-1450w-cabo-5m-capacidade-16l-filtro-hepa-electrolux-stk14-azul-denim-110v/p/MLB18185615#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=17&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097515-2ace-11f0-896c-ef58f407f176&c_element_id=83097515-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_744233-MLA47476791400_092021-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Grill E Sanduicheira Pgr21pi Maxx Clean 1000w Cinza Philco 220V,18,132,https://www.mercadolivre.com.br/grill-e-sanduicheira-pgr21pi-maxx-clean-1000w-cinza-philco-220v/p/MLB28017294#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=18&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097516-2ace-11f0-896c-ef58f407f176&c_element_id=83097516-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_876098-MLU72893039256_112023-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,"Cafeteira Elétrica Electrolux Jarra vidro, acabamento inox filtro Permanente Removível Sistema Corta Pingos Capacidade 15 xicaras 600ml ECM10 127V",19,122,https://www.mercadolivre.com.br/cafeteira-eletrica-electrolux-jarra-vidro-acabamento-inox-filtro-permanente-removivel-sistema-corta-pingos-capacidade-15-xicaras-600ml-ecm10-127v/p/MLB18927373#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=19&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097517-2ace-11f0-896c-ef58f407f176&c_element_id=83097517-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_885723-MLU75812418576_042024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Balança de cozinha digital Balança digital SF-400 pesa até 10kg branco,20,8,https://www.mercadolivre.com.br/balanca-de-cozinha-digital-balanca-digital-sf-400-pesa-ate-10kg-branco/p/MLB24546215#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=20&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097518-2ace-11f0-896c-ef58f407f176&c_element_id=83097518-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_617412-MLA80228663543_102024-P.webp,2025-05-06 20:04:50.205833
